student_id,student_name,course_id,course_name,enrollment_date,progress
S97,Anna Johnson,C107,Big Data Analytics,2024-02-07,25
S7,Jane Brown,C105,Python Programming,2024-01-16,82
S56,John Clark,C105,Python Programming,2024-04-06,75
S51,Anna Wilson,C107,Big Data Analytics,2024-05-27,42
S39,Emily Brown,C109,Cybersecurity,2024-02-19,28
S57,David Taylor,C109,Cybersecurity,2024-01-11,23
S78,Sarah Brown,C101,Blockchain Basics,2024-05-03,32
S2,Chris Smith,C104,Blockchain Basics,2024-01-12,49
S10,Chris Young,C106,Web Development,2024-02-15,52
S47,Sarah Wilson,C103,Blockchain Basics,2024-05-10,40
S2,Chris Smith,C104,Blockchain Basics,2024-01-22,49
S13,Tom Allen,C106,Web Development,2024-04-20,41
S99,John Allen,C109,Cybersecurity,2024-03-23,90
S13,Tom Allen,C106,Web Development,2024-01-17,41
S78,Sarah Brown,C101,Blockchain Basics,2024-01-19,32
S35,Anna Allen,C102,Web Development,2024-05-17,24
S6,Anna Johnson,C110,Artificial Intelligence,2024-03-24,100
S62,Anna Wilson,C110,Artificial Intelligence,2024-04-07,50
S32,David Clark,C107,Big Data Analytics,2024-01-24,8
S35,Anna Allen,C102,Web Development,2024-05-28,24
S57,David Taylor,C109,Cybersecurity,2024-03-20,23
S62,Anna Wilson,C110,Artificial Intelligence,2024-02-03,50
S15,Sarah Taylor,C105,Python Programming,2024-02-02,50
S47,Sarah Wilson,C103,Blockchain Basics,2024-05-07,40
S32,David Clark,C107,Big Data Analytics,2024-03-19,8
S91,Laura Young,C110,Artificial Intelligence,2024-02-10,4
S15,Sarah Taylor,C105,Python Programming,2024-04-25,50
S92,Chris Allen,C104,Blockchain Basics,2024-02-01,75
S92,Chris Allen,C104,Blockchain Basics,2024-03-07,75
S51,Anna Wilson,C107,Big Data Analytics,2024-04-10,42
S9,Alex Brown,C108,Mobile App Development,2024-05-26,51
S6,Anna Johnson,C110,Artificial Intelligence,2024-02-14,100
S39,Emily Brown,C109,Cybersecurity,2024-03-06,28
S35,Anna Allen,C102,Web Development,2024-01-13,24
S57,David Taylor,C109,Cybersecurity,2024-02-23,23
S10,Chris Young,C106,Web Development,2024-05-17,52
S91,Laura Young,C110,Artificial Intelligence,2024-01-16,4
S99,John Allen,C109,Cybersecurity,2024-03-10,90
S9,Alex Brown,C108,Mobile App Development,2024-01-20,51
S57,David Taylor,C109,Cybersecurity,2024-01-11,95
S35,Anna Allen,C102,Web Development,2024-05-17,64
S35,Anna Allen,C102,Web Development,2024-05-28,64
S57,David Taylor,C109,Cybersecurity,2024-03-20,95
S35,Anna Allen,C102,Web Development,2024-01-13,64
S57,David Taylor,C109,Cybersecurity,2024-02-23,95
